name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Apple MacBook Air MGN93HB/A אפל,Apple,,1.29,MacOS,8.0,,,256.0,SSD,13.3,LCD,2560x1600,0.0,3699.0
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H800CSIV לנובו,Lenovo,,1.65,ללא,8.0,Intel Core i3,3000.0,256.0,SSD,15.6,LCD,1920x1080,0.0,1399.0
מחשב נייד Lenovo V14-ADA 82C6006AIV לנובו,Lenovo,,1.6,ללא,4.0,AMD,1200.0,256.0,SSD,14.0,LCD,1366x768,0.0,750.0
מחשב נייד Apple MacBook Air 13 MGN63HB/A אפל,Apple,,1.29,MacOS,8.0,,,256.0,SSD,13.3,LCD,2560x1600,0.0,3484.0
מחשב נייד Dell Vostro 3510 V3510-6002 דל,Dell,,1.69,ללא,8.0,Intel Core i5,2400.0,256.0,SSD,15.6,LCD,1920x1080,0.0,1876.0
מחשב נייד Apple MacBook Air 13 MLXW3HB/A MLXY3HB/A MLY13HB/A MLY33HB/A אפל,Apple,,1.24,MacOS,8.0,,,,,13.3,LED,2560x1600,0.0,4699.0
מחשב נייד Lenovo IdeaPad 3 15IAU7 82RK00D6IV לנובו,Lenovo,,,,16.0,Intel Core i5,3300.0,,,15.6,LCD,1920x1080,0.0,2687.0
מחשב נייד Lenovo V14 IIL 82C400SHIV לנובו,Lenovo,,1.6,ללא,8.0,Intel Core i7,1300.0,512.0,SSD,14.0,,1920x1080,0.0,2499.0
מחשב נייד Lenovo V15 IGL 82C3008DIV לנובו,Lenovo,,1.85,ללא,8.0,Intel Celeron,2800.0,,,15.6,LCD,1366x768,0.0,1349.0
מחשב נייד Asus W202NA-GJ0062R אסוס,Asus,,1.2,Windows 10 PRO,4.0,Intel Celeron,1100.0,64.0,eMMC,11.6,LCD,1366x768,0.0,750.0
מחשב נייד Lenovo V15 IIL 82C50057IV לנובו,Lenovo,,1.8,ללא,8.0,Intel Core i5,1000.0,,,15.6,LCD,,0.0,1535.0
מחשב נייד Lenovo V14 IGL 82C2006WIV לנובו,Lenovo,,1.6,Windows  10,8.0,Intel Celeron,2800.0,,,14.0,LCD,1920x1080,0.0,730.0
מחשב נייד Apple MacBook Pro 16 MK183HB/A אפל,Apple,,2.1,MacOS,16.0,,,512.0,SSD,16.0,LCD,,0.0,7749.0
מחשב נייד Lenovo V14 G2 ITL 82KA001NIV לנובו,Lenovo,,1.6,ללא,8.0,Intel Core i5,2400.0,256.0,SSD,14.0,LCD,1920x1080,0.0,1599.0
מחשב נייד Asus Zenbook 14 Flip OLED UP5401EA-KN105W אסוס,Asus,,1.4,,16.0,Intel Core i7,2800.0,1000.0,SSD,14.0,OLED,2880X1800,1.0,4828.0
מחשב נייד Dell Vostro 3510 V3510-6005 דל,Dell,,1.69,ללא,8.0,Intel Core i5,2400.0,512.0,SSD,15.6,LCD,1920x1080,0.0,2048.0
מחשב נייד Lenovo IdeaPad 3 15ITL6 82H802EVIV לנובו,Lenovo,,1.65,ללא,16.0,Intel Core i5,2400.0,512.0,SSD,15.6,LCD,1920x1080,0.0,2449.0
