name,company,date,weight,OS,ram,processor,processor_speed,hard_drive,hard_drive_type,screen_size,screen_type,screen_resolution,touch_screen,price
מחשב נייד Lenovo ThinkPad P15s Gen 2 20W60053IV לנובו,Lenovo,NaN,1.75,Windows 10 PRO,16.0,Intel Core i7,2800.0,NaN,NaN,15.6,IPS,1920x1080,1.0,5643
מחשב נייד Dell Latitude 3420 L3420-4004 דל,Dell,NaN,1.52,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,14.0,LCD,1920x1080,0.0,3598
מחשב נייד Lenovo V14-ADA 82C6005JIV לנובו,Lenovo,NaN,1.6,ללא,4.0,AMD,1200.0,NaN,NaN,14.0,LCD,1366x768,0.0,999
מחשב נייד Lenovo Yoga 7 14IAL7 82QE008QIV לנובו,Lenovo,NaN,1.42,NaN,16.0,Intel Core i5,3300.0,1000.0,SSD,14.0,OLED,2880X1800,1.0,5046
מחשב נייד Dell Inspiron 5420 IN-RD33-14011 דל,Dell,NaN,1.54,ללא,16.0,Intel Core i7,3500.0,NaN,NaN,14.0,LCD,1920x1200,0.0,4189
מחשב נייד HP 15-dw2013nj 2U403EA,HP,NaN,1.75,ללא,16.0,Intel Core i7,1300.0,512.0,SSD,15.6,IPS,1920x1080,0.0,3945
מחשב נייד Asus VivoBook 15 X1500EA-EJ3391 אסוס,Asus,NaN,1.8,ללא,8.0,Intel Core i3,3000.0,NaN,NaN,15.6,LCD,1920x1080,0.0,2116
מחשב נייד Dell Inspiron 3511 IN-RD33-13120 דל,Dell,NaN,1.73,NaN,8.0,Intel Core i5,2400.0,NaN,NaN,15.6,LED,1920x1080,0.0,2489
מחשב נייד Dell Inspiron 7620 N7620-8620 דל,Dell,NaN,2.05,NaN,32.0,Intel Core i7,3500.0,NaN,NaN,16.0,LCD,3072x1920,0.0,8351
מחשב נייד Dell Inspiron 5620 IN-RD33-14004 דל,Dell,NaN,1.87,NaN,16.0,Intel Core i7,3500.0,NaN,NaN,16.0,LCD,1920x1200,0.0,5075
מחשב נייד Dell Vostro 5620 V5620-7721 דל,Dell,NaN,1.91,NaN,16.0,Intel Core i7,NaN,NaN,NaN,16.0,LCD,1920x1200,0.0,4525
מחשב נייד Asus ExpertBook B1 B1500CEAE-BQ3145X אסוס,Asus,NaN,1.73,NaN,8.0,Intel Core i5,2400.0,512.0,SSD,NaN,LCD,NaN,0.0,3639
מחשב נייד HP ProBook 450 G7 9HR09EA,HP,NaN,2.03,ללא,8.0,Intel Core i7,1800.0,512.0,SSD,15.6,IPS,1920x1080,0.0,3640
מחשב נייד Lenovo ThinkPad E15 Gen 2 20TD00GKIV לנובו,Lenovo,NaN,1.7,NaN,16.0,Intel Core i7,2800.0,512.0,SSD,15.6,IPS,1920x1080,0.0,4089
מחשב נייד Asus ROG Strix G15 G513RM-HQ291 אסוס,Asus,NaN,2.3,NaN,32.0,AMD Ryzen 7,3200.0,NaN,NaN,15.6,LCD,2560x1440,0.0,6290
מחשב נייד Lenovo Yoga Slim 7 ProX 14IAH7 82TK008SIV לנובו,Lenovo,NaN,NaN,NaN,NaN,NaN,2700.0,NaN,NaN,NaN,NaN,NaN,NaN,6851
