,company,weight,OS,ram,processor,processor_speed,screen_size,screen_type,touch_screen,price,height_resolution,width_resolution
0,Apple,1.29,MacOS,8.0,Intel Core i7,2400.0,13.3,LCD,0.0,3699.0,2560.0,1600.0
1,Lenovo,1.65,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1399.0,1920.0,1080.0
2,Lenovo,1.6,Windows,4.0,AMD,1200.0,14.0,LCD,0.0,750.0,1366.0,768.0
3,Apple,1.29,MacOS,8.0,Intel Core i7,2400.0,13.3,LCD,0.0,3484.0,2560.0,1600.0
4,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,1876.0,1920.0,1080.0
5,Apple,1.24,MacOS,8.0,Intel Core i7,2400.0,13.3,LED,0.0,4699.0,2560.0,1600.0
6,Lenovo,1.65,Windows,16.0,Intel Core i5,3300.0,15.6,LCD,0.0,2687.0,1920.0,1080.0
8,Lenovo,1.85,Windows,8.0,Intel Celeron,2800.0,15.6,LCD,0.0,1349.0,1366.0,768.0
9,Asus,1.2,Windows,4.0,Intel Celeron,1100.0,11.6,LCD,0.0,750.0,1366.0,768.0
11,Lenovo,1.6,Windows,8.0,Intel Celeron,2800.0,14.0,LCD,0.0,730.0,1920.0,1080.0
13,Lenovo,1.6,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,1599.0,1920.0,1080.0
14,Asus,1.4,Windows,16.0,Intel Core i7,2800.0,14.0,OLED,1.0,4828.0,2880.0,1800.0
15,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2048.0,1920.0,1080.0
16,Lenovo,1.65,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,2449.0,1920.0,1080.0
17,Dell,1.69,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1647.0,1920.0,1080.0
18,Dell,1.84,Windows,8.0,Intel Core i3,1200.0,15.6,LED,0.0,2290.0,1920.0,1080.0
19,Lenovo,1.65,Windows,16.0,Intel Core i5,3300.0,15.6,LCD,0.0,2032.0,1920.0,1080.0
21,HP,1.74,Windows,8.0,Intel Core i3,3300.0,15.6,LCD,0.0,1520.0,1920.0,1080.0
22,Lenovo,1.65,Windows,16.0,Intel Core i7,3500.0,15.6,LCD,0.0,3130.0,1920.0,1080.0
23,Gigabyte,1.9,Windows,16.0,Intel Core i5,3300.0,15.6,LCD,0.0,3365.0,1920.0,1280.0
24,Lenovo,1.65,Windows,16.0,Intel Core i7,3500.0,15.6,LCD,0.0,2866.0,1920.0,1080.0
25,Lenovo,1.45,Windows,16.0,Intel Core i7,2400.0,14.0,OLED,1.0,5491.0,2880.0,1800.0
26,Lenovo,1.65,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1399.0,1920.0,1080.0
27,HP,1.74,Windows,8.0,Intel Core i5,3300.0,15.6,IPS,1.0,1880.0,1920.0,1080.0
28,Asus,1.3,Windows,4.0,Intel Celeron,1100.0,14.0,LCD,0.0,1199.0,1366.0,768.0
29,Lenovo,1.9,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,3158.0,1920.0,1080.0
30,Lenovo,1.65,Windows,8.0,Intel Core i5,3300.0,15.6,LCD,0.0,2121.0,1920.0,1080.0
31,Lenovo,1.39,Windows,8.0,Intel Core i3,3000.0,14.0,IPS,0.0,2189.0,1920.0,1080.0
32,Asus,1.6,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,5290.0,1920.0,1080.0
33,HP,1.74,Windows,8.0,Intel Core i5,3300.0,15.6,LCD,1.0,1953.0,1920.0,1080.0
35,Asus,1.8,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1514.0,1920.0,1080.0
36,Lenovo,1.65,Windows,8.0,Intel Core i5,3300.0,15.6,LCD,0.0,2201.0,1920.0,1080.0
37,Lenovo,1.6,Windows,16.0,Intel Core i3,3000.0,14.0,LCD,0.0,1188.0,1920.0,1080.0
38,Asus,1.8,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,0.0,3490.0,1920.0,1080.0
39,Lenovo,1.65,Windows,16.0,Intel Core i5,3300.0,17.3,IPS,0.0,3380.0,1920.0,1080.0
40,HP,1.28,Windows,8.0,Intel Core i7,2800.0,13.3,IPS,0.0,3390.0,1920.0,1080.0
41,Lenovo,1.65,Windows,8.0,Intel Core i5,3300.0,15.6,LCD,0.0,2498.0,1920.0,1080.0
42,Dell,1.49,Windows,16.0,Intel Core i5,2400.0,14.0,LCD,0.0,2817.0,1920.0,1080.0
43,Lenovo,1.5,Windows,4.0,Intel Core i3,3000.0,14.0,LCD,1.0,2998.0,1920.0,1080.0
45,Asus,0.98,Windows,16.0,Intel Core i7,2800.0,14.0,LCD,0.0,4603.0,1920.0,1080.0
46,Lenovo,1.64,Windows,16.0,Intel Core i7,3500.0,14.0,IPS,0.0,3679.0,1920.0,1080.0
47,Lenovo,1.64,Windows,16.0,Intel Core i5,3300.0,14.0,IPS,0.0,3459.0,1920.0,1080.0
48,Apple,1.29,MacOS,8.0,Intel Core i7,2400.0,13.3,LCD,0.0,3699.0,2560.0,1600.0
49,Lenovo,1.65,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1399.0,1920.0,1080.0
50,Lenovo,1.6,Windows,4.0,AMD,1200.0,14.0,LCD,0.0,750.0,1366.0,768.0
51,Apple,1.29,MacOS,8.0,Intel Core i7,2400.0,13.3,LCD,0.0,3484.0,2560.0,1600.0
